Model,Scale,Cluster,Fold,class_Accuracy,class_Precision,class_Recall,class_F1,class_AUC,class_Uncertainty,class_Acc_class_0,class_Acc_class_1,class_PerStain_0_Accuracy,class_PerStain_0_Precision,class_PerStain_0_Recall,class_PerStain_0_F1,class_PerStain_0_AUC,class_PerStain_0_Uncertainty,class_PerStain_0_Acc_class_0,class_PerStain_0_Acc_class_1,class_PerStain_1_Accuracy,class_PerStain_1_Precision,class_PerStain_1_Recall,class_PerStain_1_F1,class_PerStain_1_AUC,class_PerStain_1_Uncertainty,class_PerStain_1_Acc_class_0,class_PerStain_1_Acc_class_1,class_PerStain_2_Accuracy,class_PerStain_2_Precision,class_PerStain_2_Recall,class_PerStain_2_F1,class_PerStain_2_AUC,class_PerStain_2_Uncertainty,class_PerStain_2_Acc_class_0,class_PerStain_2_Acc_class_1,class_PerStain_3_Accuracy,class_PerStain_3_Precision,class_PerStain_3_Recall,class_PerStain_3_F1,class_PerStain_3_AUC,class_PerStain_3_Uncertainty,class_PerStain_3_Acc_class_0,class_PerStain_3_Acc_class_1,class_PerScanner_0_Accuracy,class_PerScanner_0_Precision,class_PerScanner_0_Recall,class_PerScanner_0_F1,class_PerScanner_0_AUC,class_PerScanner_0_Uncertainty,class_PerScanner_0_Acc_class_0,class_PerScanner_0_Acc_class_1,class_PerScanner_1_Accuracy,class_PerScanner_1_Precision,class_PerScanner_1_Recall,class_PerScanner_1_F1,class_PerScanner_1_AUC,class_PerScanner_1_Uncertainty,class_PerScanner_1_Acc_class_0,class_PerScanner_1_Acc_class_1,class_PerScanner_2_Accuracy,class_PerScanner_2_Precision,class_PerScanner_2_Recall,class_PerScanner_2_F1,class_PerScanner_2_AUC,class_PerScanner_2_Uncertainty,class_PerScanner_2_Acc_class_0,class_PerScanner_2_Acc_class_1,stain_Accuracy,stain_Precision,stain_Recall,stain_F1,stain_AUC,stain_Uncertainty,stain_Acc_class_0,stain_Acc_class_1,stain_Acc_class_2,num_epochs_trained
Resnet18,0.0,3,1,0.9104683195592287,0.87870434624105,0.8401537281665503,0.8573574708231191,0.9436559843973954,0.0642556117277247,0.9608355091383812,0.7194719471947195,0.9243697478991597,0.881222265097434,0.8851608187134503,0.8831707169262468,0.960233918128655,0.06887212075317461,0.9508771929824561,0.8194444444444444,0.9090909090909091,0.883420085731782,0.8014564275397207,0.8339371980676329,0.9436687530091479,0.05191892617627986,0.9738805970149254,0.6290322580645161,0.9032258064516129,0.8758169934640523,0.8249143835616438,0.8466119943189627,0.930179794520548,0.06725217732535131,0.9623287671232876,0.6875,0.905852417302799,0.8785714285714286,0.8437869603784742,0.8593346425081985,0.9428222945002958,0.06758459418974529,0.9572368421052632,0.7303370786516854,0.9203860072376358,0.8952915279716526,0.8406953930442187,0.8642844386236457,0.9425472448960706,0.054438538759225205,0.9715142428785607,0.7098765432098766,0.8908765652951699,0.860697070819429,0.836527484692289,0.8475524975746277,0.9410177465665756,0.08172434637493331,0.943127962085308,0.7299270072992701,0.953125,0.7915254237288136,0.8583333333333334,0.8207282913165266,0.95,0.03883890583860697,0.9666666666666667,0.75,0.2362258953168044,0.1728833004451379,0.2516082826092314,0.1580427845875059,0.5409421323806625,1.037538502622519,0.0056022408963585435,0.7454545454545455,0.2553763440860215,17
Resnet18,0.0,3,2,0.9152892561983471,0.8912721990719441,0.841984851226637,0.8633834093563807,0.9413609768287533,0.05482627515070268,0.9677980852915579,0.7161716171617162,0.9215686274509803,0.8952159650082012,0.852266081871345,0.8713844570252187,0.9519980506822612,0.06233645376301557,0.968421052631579,0.7361111111111112,0.9030303030303031,0.8767482517482518,0.7853273952816562,0.8201757373475921,0.9294655753490612,0.04469916522985575,0.9738805970149254,0.5967741935483871,0.9220430107526881,0.8980160029947124,0.864126712328767,0.8795215706420378,0.9407106164383563,0.054665800732092304,0.9657534246575342,0.7625,0.9134860050890585,0.8921790235081374,0.8526944115907746,0.8701710066070735,0.9454464813719693,0.056659631367005074,0.9638157894736842,0.7415730337078652,0.9264173703256936,0.9075220378532538,0.8491171081126103,0.8742330601738438,0.9481925703814759,0.04538781860034564,0.9760119940029985,0.7222222222222222,0.8962432915921288,0.8727845683728037,0.8376171861486836,0.8530760585846868,0.9339260386757532,0.07099026608251377,0.95260663507109,0.7226277372262774,0.9375,0.7258064516129032,0.6166666666666667,0.6502732240437158,0.8083333333333333,0.03590142435950874,0.9833333333333333,0.25,0.22520661157024793,0.11808914213167282,0.22540548477455497,0.15007004539651014,0.43601946211942,0.9609704791076514,0.5602240896358543,0.0,0.34139784946236557,15
Resnet18,0.0,3,3,0.9022038567493113,0.8602548853016143,0.8349317960516678,0.8466381241687915,0.9343151025285296,0.06461564186927314,0.9503916449086162,0.7194719471947195,0.8907563025210085,0.8312321481335566,0.8277777777777777,0.8294857506766439,0.9296296296296297,0.07785652271473431,0.9333333333333333,0.7222222222222222,0.906060606060606,0.8601253320618487,0.8181872893596533,0.8367770243318708,0.9161651420317766,0.05464892630074727,0.9589552238805971,0.6774193548387096,0.9086021505376344,0.8646404109589041,0.8646404109589041,0.8646404109589041,0.9356164383561644,0.056892522407112775,0.9417808219178082,0.7875,0.9033078880407125,0.8860992039191671,0.8262492607924306,0.8508985623003195,0.9529863985807214,0.06826709763443232,0.9671052631578947,0.6853932584269663,0.9131483715319663,0.8766068836823553,0.8361976419197809,0.8542460294203833,0.9388453921187554,0.054911109964604694,0.9625187406296851,0.7098765432098766,0.8801431127012522,0.8404211908310268,0.8318832808662262,0.8360064979135742,0.9222852596256962,0.08069859548254806,0.9265402843601895,0.7372262773722628,0.953125,0.8169398907103824,0.7416666666666667,0.7733175914994097,0.9708333333333333,0.04984510873098369,0.9833333333333333,0.5,0.22796143250688705,0.08779932797413977,0.2500733137829912,0.1033699517062039,0.5279894840287619,0.9427059599082573,0.0,0.9787878787878788,0.021505376344086023,17
Resnet18,0.0,3,4,0.9118457300275482,0.8715377368365959,0.8568191022757629,0.8638676882059095,0.9406400170043114,0.05813323146773379,0.9512619669277633,0.7623762376237624,0.927170868347339,0.8842039919778436,0.8921052631578947,0.888071580165927,0.968615984405458,0.05366013712751648,0.9508771929824561,0.8333333333333334,0.9121212121212121,0.8810007988960709,0.8157197881559942,0.8429577118101708,0.9317525276841598,0.04685067754419341,0.9701492537313433,0.6612903225806451,0.9247311827956989,0.8819320214669052,0.9021404109589042,0.8914411973152124,0.9532106164383563,0.06074196659994644,0.9417808219178082,0.8625,0.8854961832061069,0.8465811965811966,0.8147361028976936,0.8289205111586198,0.9203134240094618,0.06920113987751188,0.944078947368421,0.6853932584269663,0.9203860072376358,0.8894982376114451,0.847705776741259,0.8663921936353514,0.9373924149036593,0.05037159018946781,0.967016491754123,0.7283950617283951,0.8944543828264758,0.8540913654618474,0.8660099629847442,0.8597728712526096,0.9448403500882139,0.07352959547031068,0.9218009478672986,0.8102189781021898,0.953125,0.8169398907103824,0.7416666666666667,0.7733175914994097,0.8124999999999999,0.02419312431526504,0.9833333333333333,0.5,0.2327823691460055,0.1590708734020438,0.24022287800750797,0.15500873982571445,0.48283496001377885,1.030873193789624,0.7282913165266106,0.20303030303030303,0.02956989247311828,14
Resnet18,0.0,3,5,0.9201101928374655,0.8930261224102782,0.8571810183629329,0.8733955711901863,0.9354152125395307,0.06442633879596117,0.9651871192341166,0.7491749174917491,0.9299719887955182,0.8927656850192062,0.8886695906432749,0.8906959940234896,0.9476120857699806,0.0740353412272195,0.9578947368421052,0.8194444444444444,0.9212121212121213,0.9020390070921986,0.8275156475686085,0.8581818181818182,0.9271184400577757,0.052656914256074605,0.9776119402985075,0.6774193548387096,0.9220430107526881,0.8980160029947124,0.864126712328767,0.8795215706420378,0.9303510273972602,0.05955158931266606,0.9657534246575342,0.7625,0.9083969465648855,0.8841032385336183,0.8454316972205795,0.8625340069957248,0.9416765227675932,0.0701945399104373,0.9605263157894737,0.7303370786516854,0.9276236429433052,0.906475468975469,0.854540322431377,0.8772700355309909,0.9394376885631258,0.05775612424368615,0.974512743628186,0.7345679012345679,0.9016100178890877,0.873033280162413,0.8559604939979936,0.8639872591740583,0.926574878057218,0.07645868989340933,0.9454976303317536,0.7664233576642335,0.984375,0.9918032786885246,0.875,0.9244391971664698,0.9083333333333332,0.04573139505162476,1.0,0.75,0.2761707988980716,0.2379419737565805,0.2807571855721761,0.20391451812098918,0.5729398451302531,1.051623403237172,0.8123249299719888,0.10909090909090909,0.20161290322580644,18
Resnet18,-0.01,3,1,0.9166666666666666,0.8833924874297545,0.8574352213289214,0.8694879937600981,0.944517689366848,0.05469560643030942,0.959094865100087,0.7557755775577558,0.9299719887955182,0.8898321435462087,0.893859649122807,0.8918247378946731,0.955458089668616,0.05231661834237824,0.9543859649122807,0.8333333333333334,0.9333333333333333,0.9196428571428572,0.8535748675974963,0.8817127215849844,0.9386735676456427,0.05247943354395248,0.9813432835820896,0.7258064516129032,0.9086021505376344,0.8747222222222222,0.8464897260273974,0.8594416785206258,0.9354880136986302,0.05535640648616228,0.9554794520547946,0.7375,0.8982188295165394,0.8627730294396961,0.8388527498521585,0.849885408708938,0.9493273211117681,0.058092090346624825,0.9473684210526315,0.7303370786516854,0.9288299155609168,0.9035543460333169,0.8623003313158235,0.8808690463142255,0.9499972236104169,0.048028176636524526,0.9715142428785607,0.7530864197530864,0.8944543828264758,0.8602565467319565,0.8512211575051025,0.8555878115955355,0.9358286920123153,0.06818432211509912,0.9360189573459715,0.7664233576642335,0.953125,0.8169398907103824,0.7416666666666667,0.7733175914994097,0.8625,0.023244156918594314,0.9833333333333333,0.5,0.2369146005509642,0.17794325972978425,0.24395489867501252,0.20538930095337427,0.47923279757325393,1.0971458367436213,0.29971988795518206,0.34545454545454546,0.33064516129032256,15
Resnet18,-0.01,3,2,0.9042699724517906,0.8750401886185832,0.8216572309972512,0.8443289371486221,0.9395887369415793,0.06518491041291712,0.9634464751958225,0.6798679867986799,0.9131652661064426,0.882559813912273,0.8366228070175439,0.8567805054805688,0.945906432748538,0.07974748071292156,0.9649122807017544,0.7083333333333334,0.9,0.8733084839154039,0.7772628791526239,0.8131274131274131,0.9126745305729418,0.05179749088820308,0.9738805970149254,0.5806451612903226,0.9005376344086021,0.8604709763137399,0.8368150684931507,0.84778209083972,0.9441352739726027,0.05915044773334325,0.9486301369863014,0.725,0.9033078880407125,0.8860992039191671,0.8262492607924306,0.8508985623003195,0.9513971023063277,0.06890967113265124,0.9671052631578947,0.6853932584269663,0.9155609167671894,0.8904423902277979,0.828349714031873,0.8545147315429511,0.9399929664797231,0.0596003514712136,0.9715142428785607,0.6851851851851852,0.8837209302325582,0.8566396824161282,0.8169993427197565,0.8339692476410245,0.9379389075310479,0.07588301244181332,0.9478672985781991,0.6861313868613139,0.9375,0.7258064516129032,0.6166666666666667,0.6502732240437158,0.8708333333333335,0.04408116554603004,0.9833333333333333,0.25,0.23484848484848486,0.17611296030399282,0.24082766537700126,0.20295088683246576,0.4915273092071734,1.0960305708206601,0.2913165266106443,0.3090909090909091,0.3629032258064516,17
Resnet18,-0.01,3,3,0.9070247933884298,0.8649249951765388,0.8476979551741075,0.8558760189665453,0.9351107434503241,0.07013806183553184,0.9495213228894691,0.7458745874587459,0.9047619047619048,0.8483096085409252,0.8625,0.8550997994460892,0.9310916179337232,0.0824873925254895,0.9333333333333333,0.7916666666666666,0.906060606060606,0.8690173578328129,0.8057896003851709,0.8321272091763895,0.9118921521425132,0.0529120507906993,0.9664179104477612,0.6451612903225806,0.9193548387096774,0.8805650684931507,0.8805650684931507,0.8805650684931507,0.954152397260274,0.06583878211234674,0.9486301369863014,0.8125,0.8982188295165394,0.8652543739417883,0.8348795091661738,0.8485899214054553,0.9433397397989355,0.0774541041905057,0.9506578947368421,0.7191011235955056,0.9203860072376358,0.8877185968796769,0.8500425713069392,0.8670751379926922,0.9360504932718825,0.06098603335184204,0.9655172413793104,0.7345679012345679,0.8819320214669052,0.8388051851097764,0.845392119555817,0.8420092497430627,0.9288753589096067,0.08579325449393682,0.9170616113744076,0.7737226277372263,0.953125,0.9761904761904762,0.625,0.6878048780487804,0.9416666666666667,0.05194710741257058,1.0,0.25,0.20867768595041322,0.15639377333806057,0.21509401414524754,0.18078764809004044,0.4521970452243376,1.0956142921789431,0.2549019607843137,0.3151515151515151,0.2903225806451613,15
Resnet18,-0.01,3,4,0.9022038567493113,0.8519418521486614,0.8519418521486614,0.8519418521486614,0.9351796798478803,0.07393483541386944,0.938207136640557,0.7656765676567657,0.9019607843137255,0.8449645390070922,0.8555555555555556,0.8500881834215167,0.9429824561403508,0.08778969678698335,0.9333333333333333,0.7777777777777778,0.9121212121212121,0.8713643484776241,0.8281174771304767,0.8473075388911049,0.9189937409725566,0.06443694499676478,0.9626865671641791,0.6935483870967742,0.9005376344086021,0.8485960237753638,0.864041095890411,0.855927147118857,0.9381849315068493,0.07128162768475439,0.928082191780822,0.8,0.8956743002544529,0.8503300330033003,0.8531009757539918,0.8517022079463982,0.9398654642223535,0.07183588274891695,0.930921052631579,0.7752808988764045,0.9155609167671894,0.8717736919847625,0.8540544542543543,0.8624933651804672,0.9418346382364372,0.06317958552321196,0.9550224887556222,0.7530864197530864,0.8783542039355993,0.8316254706171223,0.8504168540491923,0.8402534965034965,0.922181478534611,0.09347320556788477,0.9052132701421801,0.7956204379562044,0.9375,0.7258064516129032,0.6166666666666667,0.6502732240437158,0.9333333333333333,0.042593479839814596,0.9833333333333333,0.25,0.25895316804407714,0.19405533067558295,0.2659386628551714,0.22437111469276994,0.5182856566488806,1.0964860338008642,0.3641456582633053,0.3393939393939394,0.3602150537634409,17
Resnet18,-0.01,3,5,0.9118457300275482,0.8838317893948521,0.8385940421718412,0.8584105314480741,0.9425415126369034,0.06744112777524482,0.9643167972149695,0.7128712871287128,0.8991596638655462,0.8502811621368322,0.8278508771929824,0.8383152173913043,0.9399122807017545,0.08487329278377306,0.9473684210526315,0.7083333333333334,0.9272727272727272,0.9142287234042553,0.8374458353394318,0.8690909090909091,0.9303683196918633,0.04406880933490251,0.9813432835820896,0.6935483870967742,0.9139784946236559,0.8833333333333333,0.8544520547945205,0.8677098150782361,0.9486729452054794,0.06462177025148469,0.958904109589041,0.75,0.9083969465648855,0.8946942524713498,0.8335119751626257,0.8587460063897764,0.9500665286812537,0.07390011804523755,0.9703947368421053,0.6966292134831461,0.9215922798552473,0.9103272760772934,0.8297610454032243,0.8622941183986915,0.9512095803949877,0.061160510538773125,0.9805097451274363,0.6790123456790124,0.8926654740608229,0.8583951630163373,0.8475715224686062,0.8527655838454785,0.9295499360016605,0.07977690200974388,0.9360189573459715,0.7591240875912408,0.953125,0.8169398907103824,0.7416666666666667,0.7733175914994097,0.9291666666666667,0.04104946983696443,0.9833333333333333,0.5,0.25206611570247933,0.188991990584603,0.2596176593804677,0.21865311948043273,0.5059467658850502,1.0967216874097852,0.36134453781512604,0.35454545454545455,0.3225806451612903,11
