Model,Scale,Cluster,Fold,class_Accuracy,class_Precision,class_Recall,class_F1,class_AUC,class_Uncertainty,class_Acc_class_0,class_Acc_class_1,class_PerStain_0_Accuracy,class_PerStain_0_Precision,class_PerStain_0_Recall,class_PerStain_0_F1,class_PerStain_0_AUC,class_PerStain_0_Uncertainty,class_PerStain_0_Acc_class_0,class_PerStain_0_Acc_class_1,class_PerStain_1_Accuracy,class_PerStain_1_Precision,class_PerStain_1_Recall,class_PerStain_1_F1,class_PerStain_1_AUC,class_PerStain_1_Uncertainty,class_PerStain_1_Acc_class_0,class_PerStain_1_Acc_class_1,class_PerStain_2_Accuracy,class_PerStain_2_Precision,class_PerStain_2_Recall,class_PerStain_2_F1,class_PerStain_2_AUC,class_PerStain_2_Uncertainty,class_PerStain_2_Acc_class_0,class_PerStain_2_Acc_class_1,class_PerStain_3_Accuracy,class_PerStain_3_Precision,class_PerStain_3_Recall,class_PerStain_3_F1,class_PerStain_3_AUC,class_PerStain_3_Uncertainty,class_PerStain_3_Acc_class_0,class_PerStain_3_Acc_class_1,class_PerScanner_0_Accuracy,class_PerScanner_0_Precision,class_PerScanner_0_Recall,class_PerScanner_0_F1,class_PerScanner_0_AUC,class_PerScanner_0_Uncertainty,class_PerScanner_0_Acc_class_0,class_PerScanner_0_Acc_class_1,class_PerScanner_1_Accuracy,class_PerScanner_1_Precision,class_PerScanner_1_Recall,class_PerScanner_1_F1,class_PerScanner_1_AUC,class_PerScanner_1_Uncertainty,class_PerScanner_1_Acc_class_0,class_PerScanner_1_Acc_class_1,class_PerScanner_2_Accuracy,class_PerScanner_2_Precision,class_PerScanner_2_Recall,class_PerScanner_2_F1,class_PerScanner_2_AUC,class_PerScanner_2_Uncertainty,class_PerScanner_2_Acc_class_0,class_PerScanner_2_Acc_class_1,stain_Accuracy,stain_Precision,stain_Recall,stain_F1,stain_AUC,stain_Uncertainty,stain_Acc_class_0,stain_Acc_class_1,stain_Acc_class_2,num_epochs_trained
Resnet18,0.0,3,1,0.8734335839598998,0.8157622739018088,0.7931392931392931,0.8035287693672787,0.9185214626391096,0.07653585706455654,0.9324324324324325,0.6538461538461539,0.8892215568862275,0.7908530318602262,0.8040354528973344,0.7971804171932186,0.8918955213858859,0.08015870067295701,0.9288256227758007,0.6792452830188679,0.8576923076923076,0.79,0.7700665188470066,0.7792312105565118,0.9081152993348116,0.07822193930727306,0.9219512195121952,0.6181818181818182,0.8824884792626728,0.8574835276927743,0.8441348195329087,0.8504004595992025,0.9502123142250531,0.07582625664733877,0.9299363057324841,0.7583333333333333,0.8701298701298701,0.7978458162960008,0.7146245059288537,0.7444407567208762,0.9099532878189005,0.0707604481348623,0.9565217391304348,0.4727272727272727,0.8954489544895449,0.848901098901099,0.8387059369202227,0.8436343888945457,0.9317646639075211,0.06422743102601117,0.9387755102040817,0.7386363636363636,0.8490304709141274,0.78167076787179,0.7527974087161367,0.7654467801015132,0.9077308145329346,0.0916124068187735,0.9222614840989399,0.5833333333333334,0.8688524590163934,0.4491525423728814,0.4818181818181818,0.4649122807017544,0.8121212121212121,0.06213391356935572,0.9636363636363636,0.0,0.32644110275689225,0.26402954545454543,0.26121479568335854,0.18979042801786614,0.5405031542523276,1.0270241788789836,0.020958083832335328,0.8096153846153846,0.21428571428571427,12
Resnet18,0.0,3,2,0.8740601503759399,0.8212096368480873,0.7838002464699297,0.800049240358395,0.8976467766060526,0.07270789691468336,0.9403815580286169,0.6272189349112426,0.8922155688622755,0.7968067774519387,0.8058148123279393,0.8011904761904762,0.8812193648022562,0.06723664255547214,0.9323843416370107,0.6792452830188679,0.8519230769230769,0.7884381338742393,0.7364745011086475,0.7570019723865877,0.8867627494456762,0.0811081040435618,0.9365853658536586,0.5363636363636364,0.8986175115207373,0.8810606060606061,0.8604299363057325,0.8698650674662669,0.943604033970276,0.07182147810375815,0.945859872611465,0.775,0.8571428571428571,0.7671287523686048,0.6924901185770751,0.7188848323929637,0.8467121810995328,0.06570788721631096,0.9486166007905138,0.43636363636363634,0.8954489544895449,0.8518782444549315,0.8325379977165691,0.8416087354140451,0.9202583131154559,0.06395249470371286,0.9434850863422292,0.7215909090909091,0.8490304709141274,0.7872072716271779,0.736545256863278,0.7565481548850921,0.8754869982785178,0.08471774655733944,0.9346289752650176,0.5384615384615384,0.8852459016393442,0.6235632183908046,0.5651515151515152,0.5801376597836775,0.7909090909090909,0.047249381431426166,0.9636363636363636,0.16666666666666666,0.22681704260651628,0.22284015681779223,0.23531503989539532,0.18243189806827195,0.5045706714202501,1.0075419649494166,0.5808383233532934,0.1346153846153846,0.22580645161290322,13
Resnet18,0.0,3,3,0.8728070175438597,0.811676909569798,0.8013965061476374,0.8063420544402211,0.9073033179368022,0.08254365509892268,0.9252782193958664,0.6775147928994083,0.8802395209580839,0.7744599398414,0.8369703887732491,0.7994355371404551,0.8930369972470288,0.07834378345737626,0.900355871886121,0.7735849056603774,0.8653846153846154,0.8059134951553291,0.771618625277162,0.7865653438408856,0.8858314855875832,0.09115432443185206,0.9341463414634147,0.6090909090909091,0.8824884792626728,0.8561128526645768,0.8467091295116773,0.8512050015125542,0.9388004246284501,0.07126783409895947,0.9267515923566879,0.7666666666666667,0.8636363636363636,0.7727925644275455,0.7320158102766798,0.7493023255813953,0.9050664750269494,0.08844922454417364,0.9367588932806324,0.5272727272727272,0.8917589175891759,0.8360944496071641,0.8548549664621093,0.8448607858443924,0.923076923076923,0.08518368285924369,0.9199372056514914,0.7897727272727273,0.850415512465374,0.7857198544698545,0.7490373289843255,0.7645566868364796,0.9051032889372113,0.0822502557361588,0.9275618374558304,0.5705128205128205,0.8852459016393442,0.6235632183908046,0.5651515151515152,0.5801376597836775,0.6909090909090909,0.05083040543948967,0.9636363636363636,0.16666666666666666,0.2581453634085213,0.12303611117379566,0.20025493146992088,0.12344496358035903,0.4217009721836593,1.0007123165333807,0.017964071856287425,0.7692307692307693,0.013824884792626729,11
Resnet18,0.0,3,4,0.8790726817042607,0.8250879353912967,0.8010437343016528,0.8120642559793827,0.9055864949530108,0.07746267488542503,0.9364069952305246,0.665680473372781,0.9011976047904192,0.8108445777111444,0.8341166991203921,0.8217283711000049,0.89491707513597,0.06074282699161794,0.9323843416370107,0.7358490566037735,0.8519230769230769,0.7803705191521539,0.7630820399113083,0.7710940492456508,0.8739911308203991,0.09296349672109079,0.9170731707317074,0.6090909090909091,0.9147465437788018,0.8993604058114851,0.8844479830148619,0.8914670001013822,0.9623142250530786,0.07713328873204905,0.9522292993630573,0.8166666666666667,0.8506493506493507,0.7563636363636363,0.6671936758893281,0.6950757575757576,0.8726554078332734,0.0698878548612385,0.9525691699604744,0.38181818181818183,0.8991389913899139,0.8560175788160369,0.8410607249892964,0.8481854948898726,0.9249946482089338,0.0700031964749086,0.9434850863422292,0.7386363636363636,0.8545706371191135,0.790074240439204,0.7632961855576696,0.7752066017678647,0.8948536740056175,0.09053057823560276,0.9240282685512368,0.6025641025641025,0.9016393442622951,0.7076271186440678,0.5742424242424242,0.5986842105263157,0.706060606060606,0.02220906388413867,0.9818181818181818,0.16666666666666666,0.22932330827067668,0.16916275912119333,0.20466986533844755,0.18439203838622586,0.42997758435652944,1.0481884093196807,0.2155688622754491,0.375,0.22811059907834103,18
Resnet18,0.0,3,5,0.8884711779448622,0.8487407342714599,0.800514576532676,0.8209697910784868,0.9166517718553917,0.07169156590725365,0.9531001589825119,0.6479289940828402,0.9101796407185628,0.8344765468024666,0.8241455717451152,0.8291734860883797,0.9070032901363057,0.06692162401486915,0.9501779359430605,0.6981132075471698,0.8711538461538462,0.8257423285820629,0.7619733924611973,0.7868735127331453,0.9038580931263858,0.0764859202323565,0.9512195121951219,0.5727272727272728,0.9101382488479263,0.90430586924002,0.8658174097664544,0.8823234956721243,0.9553078556263269,0.07073963931941174,0.964968152866242,0.7666666666666667,0.8636363636363636,0.7768338357540878,0.7177865612648221,0.7408653846153845,0.8732303269852677,0.07011115188818329,0.9446640316205533,0.4909090909090909,0.9003690036900369,0.8631641292527575,0.8336217354074498,0.8470558725779144,0.9265288283145425,0.06785549786551595,0.9513343799058085,0.7159090909090909,0.8767313019390581,0.8402698311789221,0.7727869892180846,0.798994629054407,0.9134615384615384,0.07967030400671896,0.9558303886925795,0.5897435897435898,0.8688524590163934,0.581140350877193,0.556060606060606,0.5642857142857143,0.7969696969696969,0.02838131033543065,0.9454545454545454,0.16666666666666666,0.26629072681704263,0.20287674281663304,0.2659089920124303,0.20335347981988133,0.5025207496907252,1.0580900515018299,0.6407185628742516,0.3192307692307692,0.10368663594470046,17
Resnet18,-0.01,3,1,0.8703007518796992,0.8158386238188917,0.7760063404859785,0.793076623881758,0.901593117656466,0.0696264955357589,0.9395866454689984,0.6124260355029586,0.8922155688622755,0.7981602094943934,0.7981602094943934,0.7981602094943934,0.893842744913718,0.056909281384522184,0.9359430604982206,0.660377358490566,0.8557692307692307,0.7970692840009925,0.7389135254988913,0.7614255739550134,0.8878270509977827,0.08096666724498251,0.9414634146341463,0.5363636363636364,0.8755760368663594,0.8506172839506173,0.8316348195329086,0.8402889464358729,0.9331475583864118,0.06907919364192791,0.9299363057324841,0.7333333333333333,0.8636363636363636,0.7824872843323027,0.7035573122529645,0.7316627945569201,0.8743801652892561,0.06504269443069217,0.9525691699604744,0.45454545454545453,0.8905289052890529,0.8432379349046015,0.8273423005565863,0.8348711160811073,0.9184922220636506,0.0656085636787695,0.9387755102040817,0.7159090909090909,0.8448753462603878,0.7821213155798339,0.7246081362689136,0.7463360770929532,0.8864954244812903,0.07609779195200532,0.9363957597173145,0.5128205128205128,0.9016393442622951,0.7076271186440678,0.5742424242424242,0.5986842105263157,0.8393939393939394,0.046582275653832356,0.9818181818181818,0.16666666666666666,0.29448621553884713,0.21837551207804173,0.26891234369262185,0.2403652415491897,0.5288173097240624,1.0971012815848367,0.3023952095808383,0.38846153846153847,0.3847926267281106,15
Resnet18,-0.01,3,2,0.8665413533834586,0.814205520037424,0.760639598874893,0.7822475109965814,0.8830961138653447,0.06878391849345798,0.9443561208267091,0.5769230769230769,0.8922155688622755,0.7968067774519387,0.8058148123279393,0.8011904761904762,0.8739004901631638,0.06171740516548461,0.9323843416370107,0.6792452830188679,0.85,0.7886363636363636,0.7252771618625277,0.7488544891640867,0.8621951219512194,0.07580608707946943,0.9414634146341463,0.509090909090909,0.8824884792626728,0.8682395266553682,0.8286889596602973,0.845202710735941,0.9243630573248407,0.07015218014139542,0.9490445859872612,0.7083333333333334,0.8441558441558441,0.7440365838586083,0.6418972332015811,0.6691729323308271,0.8604383758533957,0.06266334132336807,0.9565217391304348,0.32727272727272727,0.8880688806888068,0.8434295867640205,0.8154925431711146,0.8281738815381507,0.9199818039103752,0.06314902696960221,0.9434850863422292,0.6875,0.8379501385041551,0.7747858300532531,0.7016172873063333,0.7264115195149679,0.8492796955694483,0.07562440501798702,0.941696113074205,0.46153846153846156,0.9180327868852459,0.7988505747126436,0.6575757575757576,0.7000983284169124,0.7181818181818181,0.0629205666604216,0.9818181818181818,0.3333333333333333,0.2731829573934837,0.20327457990103692,0.24956691102021408,0.22270228762067545,0.49849859530319574,1.096730012879667,0.27844311377245506,0.3557692307692308,0.3640552995391705,13
Resnet18,-0.01,3,3,0.8840852130325815,0.8394621332206611,0.7966505489129923,0.8150684802807983,0.9061180045342943,0.07601927098635697,0.9483306836248012,0.6449704142011834,0.8952095808383234,0.8046235679214403,0.7999395689249983,0.8022498519834221,0.8851809574968107,0.06873434278366483,0.9395017793594306,0.660377358490566,0.8807692307692307,0.8477272727272728,0.7713968957871397,0.8003715170278638,0.8834146341463416,0.08401990196566678,0.9609756097560975,0.5818181818181818,0.9032258064516129,0.8852872670807453,0.8687632696390658,0.8764638906961614,0.9561571125265392,0.07555114257371644,0.945859872611465,0.7916666666666666,0.8506493506493507,0.7500714898484415,0.6885375494071146,0.7112578462541779,0.8692777578153073,0.07107123735500648,0.9407114624505929,0.43636363636363634,0.9003690036900369,0.8544707369942196,0.850069573283859,0.8522391977974884,0.9303821178821179,0.07245009721260462,0.9387755102040817,0.7613636363636364,0.8670360110803325,0.8302569670647846,0.7480293558032074,0.7775038520801232,0.8931435172601251,0.08338773647818698,0.9575971731448764,0.5384615384615384,0.8688524590163934,0.4491525423728814,0.4818181818181818,0.4649122807017544,0.6757575757575758,0.036375110215199485,0.9636363636363636,0.0,0.2781954887218045,0.2078836715677865,0.2572878215564617,0.2276999557519131,0.5055214908575366,1.095658344261181,0.2994011976047904,0.3173076923076923,0.41244239631336405,15
Resnet18,-0.01,3,4,0.8803258145363408,0.8275902996332116,0.8018386468612713,0.8135777410712266,0.9133686418754293,0.0744326529208954,0.9379968203497615,0.665680473372781,0.8952095808383234,0.8046235679214403,0.7999395689249983,0.8022498519834221,0.8815550929967099,0.06314824416700471,0.9395017793594306,0.660377358490566,0.8673076923076923,0.8230574930394099,0.7495565410199556,0.7769197769197769,0.9007982261640798,0.07361460249128927,0.9536585365853658,0.5454545454545454,0.8963133640552995,0.8650769657118383,0.8845806794055202,0.8738917910206823,0.9568471337579618,0.0884492254066421,0.910828025477707,0.8583333333333333,0.8636363636363636,0.7768338357540878,0.7177865612648221,0.7408653846153845,0.8956521739130434,0.0683001408701831,0.9446640316205533,0.4909090909090909,0.8905289052890529,0.8462725751543477,0.8211743613529328,0.8326947755413483,0.9229431283002711,0.06368791570190133,0.9434850863422292,0.6988636363636364,0.868421052631579,0.8108238424823916,0.7883822596720124,0.7986549599452826,0.9096221799402011,0.08902681159437406,0.9293286219081273,0.6474358974358975,0.8852459016393442,0.6235632183908046,0.5651515151515152,0.5801376597836775,0.7999999999999999,0.044899682376478685,0.9636363636363636,0.16666666666666666,0.2581453634085213,0.1956714054973282,0.24728579441613052,0.21408831778387782,0.489603807481278,1.0970198773856352,0.38622754491017963,0.24807692307692308,0.3548387096774194,12
Resnet18,-0.01,3,5,0.8834586466165414,0.8451405951405951,0.7854347560229913,0.809607614258777,0.9148667463147101,0.06330097559274475,0.9554848966613673,0.6153846153846154,0.907185628742515,0.8300704225352112,0.8147116094809642,0.8220809347882121,0.8922312495803397,0.05506107458082219,0.9501779359430605,0.6792452830188679,0.8596153846153847,0.8126591760299626,0.7313747228381374,0.7600126442231705,0.8952328159645233,0.06604842581067935,0.9536585365853658,0.509090909090909,0.8917050691244239,0.878846097439357,0.8427813163481953,0.8581847255535857,0.9565552016985138,0.061904157944600996,0.9522292993630573,0.7333333333333333,0.8863636363636364,0.8392565359477124,0.7387351778656126,0.7743589743589744,0.8935680919870643,0.06956614339777897,0.9683794466403162,0.509090909090909,0.9028290282902829,0.8684576919305814,0.8351915941201655,0.8501627220660453,0.9260293278150421,0.058947000138003046,0.9544740973312402,0.7159090909090909,0.8601108033240997,0.8175290631410987,0.736647186735526,0.7652244183089023,0.910290386880493,0.06986370615474508,0.9540636042402827,0.5192307692307693,0.9016393442622951,0.7076271186440678,0.5742424242424242,0.5986842105263157,0.7242424242424242,0.04365328016554444,0.9818181818181818,0.16666666666666666,0.2700501253132832,0.20749257617897898,0.25249474906974423,0.22265572942588474,0.48059697875588503,1.097371327257798,0.3263473053892216,0.29423076923076924,0.38940092165898615,16
